zip,year,category_id,category,count,percentage,total_requests
98112,2025,5,Mental Health & Addictions,27,3.3%,809
98112,2025,6,Employment & Income,12,1.5%,809
98112,2025,7,Clothing & Household,24,3.0%,809
98112,2025,8,Child Care & Parenting,3,<1%,809
98112,2025,9,Government & Legal,132,16.3%,809
98112,2025,10,Transportation Assistance,23,2.8%,809
98112,2025,11,Education,5,<1%,809
98112,2025,12,Disaster,17,2.1%,809
98112,2025,13,Other,114,14.1%,809
98113,2025,2,Housing & Shelter,20,34.5%,58
98113,2025,3,Food,10,17.2%,58
98113,2025,1,Utilities,4,6.9%,58
98113,2025,4,Healthcare & COVID-19,2,3.4%,58
98113,2025,5,Mental Health & Addictions,2,3.4%,58
98113,2025,6,Employment & Income,1,1.7%,58
98113,2025,7,Clothing & Household,3,5.2%,58
98113,2025,8,Child Care & Parenting,3,5.2%,58
98113,2025,9,Government & Legal,7,12.1%,58
98113,2025,10,Transportation Assistance,1,1.7%,58
98113,2025,11,Education,0,0%,58
98113,2025,12,Disaster,0,0%,58
98113,2025,13,Other,5,8.6%,58
98114,2025,2,Housing & Shelter,14,41.2%,34
98114,2025,3,Food,5,14.7%,34
98114,2025,1,Utilities,3,8.8%,34
98114,2025,4,Healthcare & COVID-19,1,2.9%,34
98114,2025,5,Mental Health & Addictions,0,0%,34
98114,2025,6,Employment & Income,0,0%,34
98114,2025,7,Clothing & Household,0,0%,34
98114,2025,8,Child Care & Parenting,0,0%,34
98114,2025,9,Government & Legal,7,20.6%,34
98114,2025,10,Transportation Assistance,0,0%,34
98114,2025,11,Education,0,0%,34
98114,2025,12,Disaster,2,5.9%,34
98114,2025,13,Other,2,5.9%,34
98115,2025,2,Housing & Shelter,627,28.5%,2201
98115,2025,3,Food,229,10.4%,2201
98115,2025,1,Utilities,165,7.5%,2201
98115,2025,4,Healthcare & COVID-19,109,5.0%,2201
98115,2025,5,Mental Health & Addictions,57,2.6%,2201
98115,2025,6,Employment & Income,56,2.5%,2201
98115,2025,7,Clothing & Household,64,2.9%,2201
98115,2025,8,Child Care & Parenting,13,<1%,2201
98115,2025,9,Government & Legal,401,18.2%,2201
98115,2025,10,Transportation Assistance,66,3.0%,2201
98115,2025,11,Education,4,<1%,2201
98115,2025,12,Disaster,72,3.3%,2201
98115,2025,13,Other,338,15.4%,2201
98116,2025,2,Housing & Shelter,315,30.0%,1051
98116,2025,3,Food,128,12.2%,1051
98116,2025,1,Utilities,95,9.0%,1051
98116,2025,4,Healthcare & COVID-19,51,4.9%,1051
98116,2025,5,Mental Health & Addictions,21,2.0%,1051
98116,2025,6,Employment & Income,26,2.5%,1051
98116,2025,7,Clothing & Household,23,2.2%,1051
98116,2025,8,Child Care & Parenting,4,<1%,1051
98116,2025,9,Government & Legal,181,17.2%,1051
98116,2025,10,Transportation Assistance,27,2.6%,1051
98116,2025,11,Education,4,<1%,1051
98116,2025,12,Disaster,36,3.4%,1051
98116,2025,13,Other,140,13.3%,1051
98117,2025,2,Housing & Shelter,199,24.9%,799
98117,2025,3,Food,79,9.9%,799
98117,2025,1,Utilities,69,8.6%,799
98117,2025,4,Healthcare & COVID-19,58,7.3%,799
98117,2025,5,Mental Health & Addictions,22,2.8%,799
98117,2025,6,Employment & Income,22,2.8%,799
98117,2025,7,Clothing & Household,26,3.3%,799
98117,2025,8,Child Care & Parenting,6,<1%,799
98117,2025,9,Government & Legal,131,16.4%,799
98117,2025,10,Transportation Assistance,26,3.3%,799
98117,2025,11,Education,2,<1%,799
98117,2025,12,Disaster,22,2.8%,799
98117,2025,13,Other,137,17.1%,799
98118,2025,2,Housing & Shelter,1708,30.5%,5595
98118,2025,3,Food,726,13.0%,5595
98118,2025,1,Utilities,605,10.8%,5595
98118,2025,4,Healthcare & COVID-19,252,4.5%,5595
98118,2025,5,Mental Health & Addictions,91,1.6%,5595
98118,2025,6,Employment & Income,132,2.4%,5595
98118,2025,7,Clothing & Household,211,3.8%,5595
98118,2025,8,Child Care & Parenting,29,<1%,5595
98118,2025,9,Government & Legal,756,13.5%,5595
98118,2025,10,Transportation Assistance,164,2.9%,5595
98118,2025,11,Education,25,<1%,5595
98118,2025,12,Disaster,211,3.8%,5595
98118,2025,13,Other,685,12.2%,5595
98119,2025,2,Housing & Shelter,221,25.5%,868
98119,2025,3,Food,94,10.8%,868
98119,2025,1,Utilities,66,7.6%,868
98119,2025,4,Healthcare & COVID-19,58,6.7%,868
98119,2025,5,Mental Health & Addictions,23,2.6%,868
98119,2025,6,Employment & Income,24,2.8%,868
98119,2025,7,Clothing & Household,12,1.4%,868
98119,2025,8,Child Care & Parenting,6,<1%,868
98119,2025,9,Government & Legal,196,22.6%,868
98119,2025,10,Transportation Assistance,25,2.9%,868
98119,2025,11,Education,1,<1%,868
98119,2025,12,Disaster,28,3.2%,868
98119,2025,13,Other,114,13.1%,868
98121,2025,2,Housing & Shelter,573,28.3%,2022
98121,2025,3,Food,248,12.3%,2022
98121,2025,1,Utilities,163,8.1%,2022
98121,2025,4,Healthcare & COVID-19,112,5.5%,2022
98121,2025,5,Mental Health & Addictions,45,2.2%,2022
98121,2025,6,Employment & Income,63,3.1%,2022
98121,2025,7,Clothing & Household,75,3.7%,2022
98121,2025,8,Child Care & Parenting,6,<1%,2022
98121,2025,9,Government & Legal,312,15.4%,2022
98121,2025,10,Transportation Assistance,60,3.0%,2022
98121,2025,11,Education,11,<1%,2022
98121,2025,12,Disaster,72,3.6%,2022
98121,2025,13,Other,282,13.9%,2022
98122,2025,2,Housing & Shelter,1853,29.1%,6370
98122,2025,3,Food,786,12.3%,6370
98122,2025,1,Utilities,525,8.2%,6370
98122,2025,4,Healthcare & COVID-19,256,4.0%,6370
98122,2025,5,Mental Health & Addictions,150,2.4%,6370
98122,2025,6,Employment & Income,167,2.6%,6370
98122,2025,7,Clothing & Household,204,3.2%,6370
98122,2025,8,Child Care & Parenting,32,<1%,6370
98122,2025,9,Government & Legal,906,14.2%,6370
98122,2025,10,Transportation Assistance,149,2.3%,6370
98122,2025,11,Education,22,<1%,6370
98122,2025,12,Disaster,195,3.1%,6370
98122,2025,13,Other,1125,17.7%,6370
98124,2025,2,Housing & Shelter,126,15.3%,823
98124,2025,3,Food,9,1.1%,823
98124,2025,1,Utilities,8,<1%,823
98124,2025,4,Healthcare & COVID-19,337,40.9%,823
98124,2025,5,Mental Health & Addictions,14,1.7%,823
98124,2025,6,Employment & Income,13,1.6%,823
98124,2025,7,Clothing & Household,4,<1%,823
98124,2025,8,Child Care & Parenting,13,1.6%,823
98124,2025,9,Government & Legal,29,3.5%,823
98124,2025,10,Transportation Assistance,22,2.7%,823
98124,2025,11,Education,2,<1%,823
98124,2025,12,Disaster,1,<1%,823
98124,2025,13,Other,245,29.8%,823
98125,2025,2,Housing & Shelter,1129,29.6%,3810
98125,2025,3,Food,486,12.8%,3810
98125,2025,1,Utilities,366,9.6%,3810
98125,2025,4,Healthcare & COVID-19,224,5.9%,3810
98125,2025,5,Mental Health & Addictions,89,2.3%,3810
98125,2025,6,Employment & Income,103,2.7%,3810
98125,2025,7,Clothing & Household,122,3.2%,3810
98125,2025,8,Child Care & Parenting,22,<1%,3810
98125,2025,9,Government & Legal,514,13.5%,3810
98125,2025,10,Transportation Assistance,124,3.3%,3810
98125,2025,11,Education,14,<1%,3810
98125,2025,12,Disaster,96,2.5%,3810
98125,2025,13,Other,521,13.7%,3810
98126,2025,2,Housing & Shelter,387,28.1%,1376
98126,2025,3,Food,133,9.7%,1376
98126,2025,1,Utilities,124,9.0%,1376
98126,2025,4,Healthcare & COVID-19,66,4.8%,1376
98126,2025,5,Mental Health & Addictions,36,2.6%,1376
98126,2025,6,Employment & Income,42,3.1%,1376
98126,2025,7,Clothing & Household,37,2.7%,1376
98126,2025,8,Child Care & Parenting,6,<1%,1376
98126,2025,9,Government & Legal,204,14.8%,1376
98126,2025,10,Transportation Assistance,43,3.1%,1376
98126,2025,11,Education,10,<1%,1376
98126,2025,12,Disaster,53,3.9%,1376
98126,2025,13,Other,235,17.1%,1376
98127,2025,2,Housing & Shelter,2,50.0%,4
98127,2025,3,Food,1,25.0%,4
98127,2025,1,Utilities,0,0%,4
98127,2025,4,Healthcare & COVID-19,0,0%,4
98127,2025,5,Mental Health & Addictions,0,0%,4
98127,2025,6,Employment & Income,0,0%,4
98127,2025,7,Clothing & Household,0,0%,4
98127,2025,8,Child Care & Parenting,0,0%,4
98127,2025,9,Government & Legal,0,0%,4
98127,2025,10,Transportation Assistance,0,0%,4
98127,2025,11,Education,0,0%,4
98127,2025,12,Disaster,0,0%,4
98127,2025,13,Other,1,25.0%,4
98129,2025,2,Housing & Shelter,2,66.7%,3
98129,2025,3,Food,0,0%,3
98129,2025,1,Utilities,0,0%,3
98129,2025,4,Healthcare & COVID-19,0,0%,3
98129,2025,5,Mental Health & Addictions,0,0%,3
98129,2025,6,Employment & Income,0,0%,3
98129,2025,7,Clothing & Household,0,0%,3
98129,2025,8,Child Care & Parenting,0,0%,3
98129,2025,9,Government & Legal,0,0%,3
98129,2025,10,Transportation Assistance,0,0%,3
98129,2025,11,Education,0,0%,3
98129,2025,12,Disaster,0,0%,3
98129,2025,13,Other,1,33.3%,3
98131,2025,2,Housing & Shelter,5,55.6%,9
98131,2025,3,Food,1,11.1%,9
98131,2025,1,Utilities,1,11.1%,9
98131,2025,4,Healthcare & COVID-19,1,11.1%,9
98131,2025,5,Mental Health & Addictions,0,0%,9
98131,2025,6,Employment & Income,0,0%,9
98131,2025,7,Clothing & Household,1,11.1%,9
98131,2025,8,Child Care & Parenting,0,0%,9
98131,2025,9,Government & Legal,0,0%,9
98131,2025,10,Transportation Assistance,0,0%,9
98131,2025,11,Education,0,0%,9
98131,2025,12,Disaster,0,0%,9
98131,2025,13,Other,0,0%,9
98132,2025,2,Housing & Shelter,0,0%,0
98132,2025,3,Food,0,0%,0
98132,2025,1,Utilities,0,0%,0
98132,2025,4,Healthcare & COVID-19,0,0%,0
98132,2025,5,Mental Health & Addictions,0,0%,0
98132,2025,6,Employment & Income,0,0%,0
98132,2025,7,Clothing & Household,0,0%,0
98132,2025,8,Child Care & Parenting,0,0%,0
98132,2025,9,Government & Legal,0,0%,0
98132,2025,10,Transportation Assistance,0,0%,0
98132,2025,11,Education,0,0%,0
98132,2025,12,Disaster,0,0%,0
98132,2025,13,Other,0,0%,0
98133,2025,2,Housing & Shelter,1589,29.9%,5320
98133,2025,3,Food,685,12.9%,5320
98133,2025,1,Utilities,502,9.4%,5320
98133,2025,4,Healthcare & COVID-19,281,5.3%,5320
98133,2025,5,Mental Health & Addictions,109,2.0%,5320
98133,2025,6,Employment & Income,141,2.7%,5320
98133,2025,7,Clothing & Household,191,3.6%,5320
98133,2025,8,Child Care & Parenting,24,<1%,5320
98133,2025,9,Government & Legal,739,13.9%,5320
98133,2025,10,Transportation Assistance,152,2.9%,5320
98133,2025,11,Education,17,<1%,5320
